ModelName,Device,OTAVersion,AndroidVersion,SignedOZIP,OTAOZIP,Changelog,Size,MD5
realme X2 CN,RMX1991,RMX1991_11.C.26_1260_202102241101,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1991_11_OTA_1260_all_7hyihIDBA0QQ.ozip,http://otafs-cost.coloros.com/RMX1991/RMX1991_11.C.26_1260_202102241101/patch/CHN/RMX1991/RMX1991_11.C.26_1260_202102241101/RMX1991_11_OTA_1260_all_7hyihIDBA0QQ_d02af.ozip,https://otaafs-cost.coloros.com/RMX1991/RMX1991_11.C.26_1260_202102241101/html/CHN/RMX1991/RMX1991_11.C.26_1260_202102241101/en-US_aeee02934ec_5_0.html,3213111099,627de3e284eb696601106d622c1310b0
realme X2 AEX,RMX1992AEX,RMX1992AEX_11.C.16_1160_202101231115,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1992AEX_11_OTA_1160_all_atLCea2NItQD.ozip,http://otafsg-cost.realmemobile.com/RMX1992/RMX1992AEX_11.C.16_1160_202101231115/patch/amazone2/GLO/RMX1992AEX/RMX1992AEX_11.C.16_1160_202101231115/RMX1992AEX_11_OTA_1160_all_atLCea2NItQD_76ed4f8298535dd.ozip,https://otaafsg-cost.realmemobile.com/RMX1992/RMX1992AEX_11.C.16_1160_202101231115/html/amazone2/GLO/RMX1992AEX/RMX1992AEX_11.C.16_1160_202101231115/en-US_b34a9_5_0.html,3369683515,8934fd11f00fe9200810cfb32077874d
realme X2,RMX1992EX,RMX1992EX_11.C.16_1160_202101231115,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1992EX_11_OTA_1160_all_AfF6ZNzdzdka.ozip,http://otafsg-cost.realmemobile.com/RMX1992/RMX1992EX_11.C.16_1160_202101231115/patch/amazone2/GLO/RMX1992EX/RMX1992EX_11.C.16_1160_202101231115/RMX1992EX_11_OTA_1160_all_AfF6ZNzdzdka_8a51e9fe15d3.ozip,https://otaafsg-cost.realmemobile.com/RMX1992/RMX1992EX_11.C.16_1160_202101231115/html/amazone2/GLO/RMX1992EX/RMX1992EX_11.C.16_1160_202101231115/en-US_4f568_5_0.html,3371535227,5110312f893f75002d143138c2aa0ea1
realme X2,RMX1993EX,RMX1993EX_11.C.12_1120_202101231115,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1993EX_11_OTA_1120_all_cfuJQOMyUjeK.ozip,http://otafsg-cost.realmemobile.com/RMX1993/RMX1993EX_11.C.12_1120_202101231115/patch/amazone2/GLO/RMX1993EX/RMX1993EX_11.C.12_1120_202101231115/RMX1993EX_11_OTA_1120_all_cfuJQOMyUjeK_35cfd83f1a06b5.ozip,https://otaafsg-cost.realmemobile.com/RMX1993/RMX1993EX_11.C.12_1120_202101231115/html/amazone2/GLO/RMX1993EX/RMX1993EX_11.C.12_1120_202101231115/en-US_e8e7967437_5_0.html,3377740208,776425e825bd37c1fe7846530ac64e38
realme 5i EU,RMX2030EX,RMX2030EX_11.A.20_0200_202005150427," []",http://download.c.realme.com/osupdate/RMX2030EX_11_OTA_0200_all_ddurYzSHqWzG.ozip,http://otafsg-cost.realmemobile.com/RMX2030/RMX2030EX_11.A.20_0200_202005150427/patch/amazone2/INT/RMX2030EX/RMX2030EX_11.A.20_0200_202005150427/RMX2030EX_11_OTA_0200_all_ddurYzSHqWzG_deeccb8010.ozip,https://otaafsg-cost.realmemobile.com/RMX2030/RMX2030EX_11.A.20_0200_202005150427/html/amazone2/INT/RMX2030EX/RMX2030EX_11.A.20_0200_202005150427/en-US_d13d9e3ea_5_0.html,2795352909,e66e13db9040f94d167005d61710edd5
realme narzo 20A,RMX2050EX,RMX2050EX_11.A.25_0250_202102071706,ColorOS 7.1 [Android 10],http://download.c.realme.com/osupdate/RMX2050EX_11_OTA_0250_all_XedwsLvGX5XO.ozip,http://otafsg-cost.realmemobile.com/RMX2050/RMX2050EX_11.A.25_0250_202102071706/patch/amazone2/GLO/RMX2050EX/RMX2050EX_11.A.25_0250_202102071706/RMX2050EX_11_OTA_0250_all_XedwsLvGX5XO_ef57f84ef2d4e.ozip,https://otaafsg-cost.realmemobile.com/RMX2050/RMX2050EX_11.A.25_0250_202102071706/html/amazone2/GLO/RMX2050EX/RMX2050EX_11.A.25_0250_202102071706/en-US_08aa2_5_0.html,3446135783,43f03fbab84e103c364859e429a699ce
realme X50 5G CN,RMX2051,RMX2051_11.B.20_0200_202101191706,ColorOS 7.2 [Android 10],Not available yet. Try again later,http://otafs-cost.coloros.com/RMX2051/RMX2051_11.B.20_0200_202101191706/patch/CHN/RMX2051/RMX2051_11.B.20_0200_202101191706/RMX2051_11_OTA_0200_all_xQWDqpVxVLuu_21a0c813b306.ozip,https://otaafs-cost.coloros.com/RMX2051/RMX2051_11.B.20_0200_202101191706/html/CHN/RMX2051/RMX2051_11.B.20_0200_202101191706/en-US_23b1342a0187_5_0.html,4000590825,9ca09f4c2d287cc45d5b5c45008c5d0f
realme  X50 Pro Player (5G) CN,RMX2071,RMX2071_11.A.27_0270_202101121523,ColorOS 7.1 [Android 10],http://download.c.realme.com/osupdate/RMX2071_11_OTA_0270_all_Hda9YapmJ4lp.ozip,http://otafs-cost.coloros.com/RMX2071/RMX2071_11.A.27_0270_202101121523/patch/CHN/RMX2071/RMX2071_11.A.27_0270_202101121523/RMX2071_11_OTA_0270_all_Hda9YapmJ4lp_cbd6bde.ozip,https://otaafs-cost.coloros.com/RMX2071/RMX2071_11.A.27_0270_202101121523/html/CHN/RMX2071/RMX2071_11.A.27_0270_202101121523/en-US_afb6f3b8558_5_0.html,4109279423,44a76cfae491081d79ac7d5a0791a0d6
realme X50 Pro EU,RMX2076EU,RMX2076EU_11.A.42_0420_202101121522,ColorOS 7.1 [Android 10],http://download.c.realme.com/osupdate/RMX2076EU_11_OTA_0420_all_CzQ779yq9fLp.ozip,http://otafsg-cost.realmemobile.com/RMX2075EEA/RMX2076EU_11.A.42_0420_202101121522/patch/amazone2/GLO/RMX2076EU/RMX2076EU_11.A.42_0420_202101121522/RMX2076EU_11_OTA_0420_all_CzQ779yq9fLp_3fee2bee.ozip,https://otaafsg-cost.realmemobile.com/RMX2075EEA/RMX2076EU_11.A.42_0420_202101121522/html/amazone2/GLO/RMX2076EU/RMX2076EU_11.A.42_0420_202101121522/en-US_877aa4d340a_5_0.html,3866520205,81d1563b598e3a64e8423cb5eec65fb9
realme Q2 5G/realme V5 5G,RMX2111,RMX2111_11.A.32_0320_202102220537,ColorOS 7.2 [Android 10],Not available yet. Try again later,http://otafs-cost.coloros.com/RMX2111/RMX2111_11.A.32_0320_202102220537/patch/CHN/RMX2111/RMX2111_11.A.32_0320_202102220537/RMX2111_11_OTA_0320_all_XFaML0a7rYCO_6c766da0afd4db3.ozip,https://otaafs-cost.coloros.com/RMX2111/RMX2111_11.A.32_0320_202102220537/html/CHN/RMX2111/RMX2111_11.A.32_0320_202102220537/en-US_416ba7618e2d10_5_0.html,3308653949,9d13d79a6c9da7cd58ce4ebf4356fcce
realme 7 5G EU,RMX2111EU,RMX2111EU_11.A.28_0280_202102241719,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX2111EU_11_OTA_0280_all_3Le9KntvYZRD.ozip,http://otafsg-cost.realmemobile.com/RMX2111EEA/RMX2111EU_11.A.28_0280_202102241719/patch/amazone2/GLO/RMX2111EU/RMX2111EU_11.A.28_0280_202102241719/RMX2111EU_11_OTA_0280_all_3Le9KntvYZRD_fcea08d97d.ozip,https://otaafsg-cost.realmemobile.com/RMX2111EEA/RMX2111EU_11.A.28_0280_202102241719/html/amazone2/GLO/RMX2111EU/RMX2111EU_11.A.28_0280_202102241719/en-US_533ecdcc0c930_5_0.html,3274405638,656e4350558074573e77c12d48c61164
realme  X7 Pro 5G CN,RMX2121,RMX2121_11.A.19_0190_202101261435,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX2121_11_OTA_0190_all_B5cSIYs99RcD.ozip,http://otafs-cost.coloros.com/RMX2121/RMX2121_11.A.19_0190_202101261435/patch/CHN/RMX2121/RMX2121_11.A.19_0190_202101261435/RMX2121_11_OTA_0190_all_B5cSIYs99RcD_ad59a5a.ozip,https://otaafs-cost.coloros.com/RMX2121/RMX2121_11.A.19_0190_202101261435/html/CHN/RMX2121/RMX2121_11.A.19_0190_202101261435/en-US_ca4c8cf51ae741_5_0.html,3479688429,805a8b2924d6935eec16868c47132a06
realme X50 5G CN,RMX2141,RMX2141_11.A.13_0130_202101191707,ColorOS 7.2 [Android 10],Not available yet. Try again later,http://otafs-cost.coloros.com/RMX2141/RMX2141_11.A.13_0130_202101191707/patch/CHN/RMX2141/RMX2141_11.A.13_0130_202101191707/RMX2141_11_OTA_0130_all_tDDJp1TyPyq5_77f81d983.ozip,https://otaafs-cost.coloros.com/RMX2141/RMX2141_11.A.13_0130_202101191707/html/CHN/RMX2141/RMX2141_11.A.13_0130_202101191707/en-US_8020632cb56ea7e_5_0.html,4129596013,c17f6531b9265c6d1c26650494fdebe6
realme X50 EU,RMX2144EU,RMX2144EU_11.A.22_0220_202101221847,ColorOS 7.2 [Android 10],Not available yet. Try again later,http://otafsg-cost.realmemobile.com/RMX2144EEA/RMX2144EU_11.A.22_0220_202101221847/patch/amazone2/GLO/RMX2144EU/RMX2144EU_11.A.22_0220_202101221847/RMX2144EU_11_OTA_0220_all_tJhxte1VNKpx_417bcedd32.ozip,https://otaafsg-cost.realmemobile.com/RMX2144EEA/RMX2144EU_11.A.22_0220_202101221847/html/amazone2/GLO/RMX2144EU/RMX2144EU_11.A.22_0220_202101221847/en-US_ac35d0_5_0.html,3699846313,16eaffc5715ba3d3eb1a6868a42204a7
realme V3 5G CN,RMX2200,RMX2200_11.A.16_0160_202101312330,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX2200_11_OTA_0160_all_UQo9aev0nQFi.ozip,http://otafs-cost.coloros.com/RMX2200/RMX2200_11.A.16_0160_202101312330/patch/CHN/RMX2200/RMX2200_11.A.16_0160_202101312330/RMX2200_11_OTA_0160_all_UQo9aev0nQFi_88c0.ozip,https://otaafs-cost.coloros.com/RMX2200/RMX2200_11.A.16_0160_202101312330/html/CHN/RMX2200/RMX2200_11.A.16_0160_202101312330/en-US_3ab5_5_0.html,3221057234,e1b77bdd68f020800f2832bd3c8ec816
